,flow
0,0.7248
1,0.4214
2,0.5743
3,0.5632
4,0.5765
5,0.6175
6,0.8399
7,0.6552
8,0.6609
9,0.6822
10,0.7814
11,1.0479
12,0.7855
13,0.5438
14,0.6533
15,0.6328
16,0.6717
17,0.7459
18,0.9526
19,0.8754
20,0.5865
21,0.6687
22,0.6645
23,0.6964
24,0.747
25,0.9727
26,0.9161
27,0.6521
28,0.6711
29,0.6674
30,0.7997
31,0.6133
32,0.3238
33,0.4387
34,0.4455
35,0.4289
36,0.2943
37,0.3571
38,0.1829
39,0.0688
40,0.2079
41,0.2102
42,0.2053
43,0.2401
44,0.3206
45,0.1758
46,0.0759
47,0.2395
48,0.2529
49,0.3612
50,0.2405
51,0.0
52,0.2667
53,0.3131
54,0.363
55,0.3671
56,0.4426
57,0.3162
58,0.20600000000000002
59,0.3417
60,0.3637
61,0.3675
62,0.3974
63,0.4857
64,0.3761
65,0.2356
66,0.4013
67,0.4274
68,0.4402
69,0.47700000000000004
70,0.39799999999999996
71,0.466
72,0.534
73,0.602
74,0.6269
75,0.7812
76,0.66
77,0.4805
78,0.6043
79,0.6705
80,0.6912
81,0.7509
82,0.9158
83,0.7759999999999999
84,0.5565
85,0.5762
86,0.7532
87,0.7786
88,0.7935
89,0.9184
90,0.7917
91,0.5914
92,0.8696
93,0.9144
94,1.0881
95,0.9490000000000001
96,0.7234
97,0.8977
98,0.9016
99,0.919
100,0.9782
101,1.1520000000000001
102,1.0315
103,0.6556
104,0.9436
105,0.9312
106,1.0073
107,1.0075
108,1.1828
109,1.0361
110,0.7973
111,0.9478
112,0.9881
113,1.1692
114,0.9973
115,0.7584
116,0.9554
117,0.9422
118,0.963
119,0.9946
120,1.1321
121,0.9589
122,0.7611
